"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
26,0,0,0,0,0,57,0
24,0,0,0,0,0,59,0
8,14,0,0,27,0,34,0
25,58,0,0,0,0,0,0
12,0,0,0,0,0,71,0
0,22,0,41,0,20,0,0
0,0,0,38,23,22,0,0
0,0,0,0,0,0,83,0
0,0,0,0,0,0,83,0
29,0,0,0,0,0,53,0
4,0,0,0,0,0,78,0
0,82,0,0,0,0,0,0
0,82,0,0,0,0,0,0
0,0,74,8,0,0,0,0
0,0,82,0,0,0,0,0
0,0,0,0,0,0,82,0
41,0,0,0,40,0,0,0
19,0,0,0,0,62,0,0
0,81,0,0,0,0,0,0
0,81,0,0,0,0,0,0
0,81,0,0,0,0,0,0
0,0,81,0,0,0,0,0
0,0,81,0,0,0,0,0
0,0,0,0,0,0,81,0
80,0,0,0,0,0,0,0
0,0,0,80,0,0,0,0
0,0,0,0,0,80,0,0
0,0,0,0,0,80,0,0
0,0,0,0,0,0,80,0
18,0,0,0,22,3,36,0
0,0,0,79,0,0,0,0
0,0,0,0,67,6,0,6
0,0,0,0,0,79,0,0
0,0,0,0,0,0,79,0
0,63,0,0,15,0,0,0
0,78,0,0,0,0,0,0
0,0,0,0,0,78,0,0
0,0,0,0,0,0,78,0
0,0,0,0,0,0,0,78
0,0,0,0,0,0,0,78
16,0,0,0,0,0,61,0
36,0,0,0,0,0,41,0
0,77,0,0,0,0,0,0
0,77,0,0,0,0,0,0
0,0,77,0,0,0,0,0
0,0,0,0,0,77,0,0
0,65,0,0,0,11,0,0
0,76,0,0,0,0,0,0
0,18,0,0,0,0,58,0
0,46,30,0,0,0,0,0
0,0,76,0,0,0,0,0
0,0,76,0,0,0,0,0
0,0,51,25,0,0,0,0
0,0,0,0,0,76,0,0
0,0,0,0,0,0,76,0
0,0,0,0,0,0,76,0
46,0,0,0,0,0,0,29
0,75,0,0,0,0,0,0
0,0,75,0,0,0,0,0
0,0,0,0,0,75,0,0
0,0,0,0,0,32,0,43
74,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0
0,19,0,0,0,55,0,0
0,16,0,0,0,0,58,0
0,0,74,0,0,0,0,0
0,0,0,74,0,0,0,0
0,0,0,12,0,0,62,0
0,0,0,0,0,74,0,0
0,0,0,0,0,0,74,0
0,16,57,0,0,0,0,0
0,0,73,0,0,0,0,0
0,0,73,0,0,0,0,0
